tstamp	latitude	longitude	direction	speed	trip_id	trip_id	max	min	max	min	distance
2020-10-13 18:07:15	45.702037	-122.552682	359	40.26492	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:07:20	45.702863	-122.552715	358	40.26492	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:07:25	45.70368	-122.552733	359	40.26492	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:07:30	45.704458	-122.552732	0	38.02798	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:07:35	45.705205	-122.552728	0	35.79104	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:07:40	45.705925	-122.552698	2	33.5541	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:07:45	45.706553	-122.55265	3	29.08022	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:07:50	45.706973	-122.552612	4	17.89552	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:07:55	45.70737	-122.552587	3	20.13246	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:08:00	45.707892	-122.552578	1	24.60634	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:08:05	45.70858	-122.552593	359	33.5541	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:08:10	45.709393	-122.552605	359	40.26492	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:08:15	45.710242	-122.552595	0	40.26492	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:08:20	45.711115	-122.552583	1	42.50186	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:08:25	45.712028	-122.552573	0	44.7388	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:08:30	45.712952	-122.552563	0	44.7388	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:08:35	45.713838	-122.552548	1	42.50186	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:08:40	45.714682	-122.552533	1	40.26492	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:08:45	45.715517	-122.552527	0	40.26492	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:08:50	45.716358	-122.552515	1	40.26492	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:08:55	45.717202	-122.552503	1	40.26492	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
